  PID TTY           TIME CMD
 1109 ??         0:00.18 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
 1110 ??         0:00.05 /usr/libexec/AssetCache/AssetCache
 1123 ??         0:00.04 /System/Library/CoreServices/EscrowSecurityAlert.app/Contents/MacOS/EscrowSecurityAlert
 1131 ??         0:00.02 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
 1138 ??         0:00.02 /usr/libexec/mobileactivationd
 1145 ??         0:00.74 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
 1147 ??         0:00.09 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
 1161 ??         0:00.11 /usr/libexec/dprivacyd
 1177 ??         0:00.02 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeinstalld
 1178 ??         0:00.08 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/XPCServices/com.apple.CommerceKit.TransactionService.xpc/Contents/MacOS/com.apple.CommerceKit.TransactionService
 1185 ??         0:00.01 /usr/libexec/periodic-wrapper daily
 1260 ??         0:00.11 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/media-indexer.xpc/Contents/MacOS/media-indexer
 1261 ??         0:00.13 /System/Library/Frameworks/iTunesLibrary.framework/Versions/A/XPCServices/com.apple.iTunesLibraryService.xpc/Contents/MacOS/com.apple.iTunesLibraryService
 1268 ??         0:00.04 /System/Library/PrivateFrameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
 1269 ??         0:00.11 /usr/libexec/silhouette
 1270 ??         0:00.16 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Frameworks/PhotoLibraryServices.framework/Versions/A/XPCServices/com.apple.photomodel.xpc/Contents/MacOS/com.apple.photomodel
 1271 ??         0:00.03 /usr/bin/sysdiagnose
 1288 ??         0:00.02 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
 1365 ??         0:00.03 /usr/libexec/USBAgent
 1803 ??         0:00.08 /System/Library/PrivateFrameworks/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.History.xpc/Contents/MacOS/com.apple.Safari.History
 1809 ??         0:00.54 /usr/libexec/SafariCloudHistoryPushAgent
 1810 ??         0:00.04 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
 1811 ??         0:14.24 /Applications/LastPass.app/Contents/MacOS/LastPass
 1812 ??         0:00.34 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/XPCServices/com.apple.CommerceKit.TransactionService.xpc/Contents/MacOS/com.apple.CommerceKit.TransactionService
 1813 ??         0:00.69 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
 1820 ??         0:00.82 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreautha.bundle/Contents/MacOS/coreautha
 1832 ??         0:00.67 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
 1833 ??         0:00.32 /usr/libexec/keyboardservicesd
 2221 ??         0:13.19 /Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
 2272 ??         0:03.71 /Applications/System Preferences.app/Contents/MacOS/System Preferences
 2279 ??         0:01.82 /System/Library/PreferencePanes/SoftwareUpdate.prefPane/Contents/XPCServices/com.apple.preferences.softwareupdate.remoteservice.xpc/Contents/MacOS/com.apple.preferences.softwareupdate.remoteservice
 2303 ??         0:00.01 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
 2304 ??         0:00.04 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdate_download_service
 2305 ??         0:00.19 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
 2306 ??         0:00.26 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
 2307 ??         0:00.19 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
 2327 ??         0:00.02 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
 2387 ??         0:00.26 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeuid.app/Contents/MacOS/storeuid
 2390 ??         0:00.12 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/XPCServices/com.apple.CommerceKit.TransactionService.xpc/Contents/MacOS/com.apple.CommerceKit.TransactionService
 2391 ??         0:00.35 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
 2392 ??         0:00.07 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
 2400 ??         0:00.25 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
 2408 ??         0:00.24 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
 2559 ??         0:00.25 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
 2579 ??         0:00.35 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
 2730 ??         0:00.17 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
 2731 ??         0:07.14 /Applications/BetterTouchTool.app/Contents/MacOS/BetterTouchTool -psn_0_356439
 2732 ??         0:00.02 /Applications/BetterTouchTool.app/Contents/XPCServices/BetterTouchToolScriptRunner.xpc/Contents/MacOS/BetterTouchToolScriptRunner
 2733 ??         0:00.02 /Applications/BetterTouchTool.app/Contents/XPCServices/BetterTouchToolAppleScriptRunner.xpc/Contents/MacOS/BetterTouchToolAppleScriptRunner
 2734 ??         0:00.02 /Applications/BetterTouchTool.app/Contents/XPCServices/BetterTouchToolShellScriptRunner.xpc/Contents/MacOS/BetterTouchToolShellScriptRunner
 2735 ??         0:00.34 /Applications/BetterTouchTool.app/Contents/Resources/BTTRelaunch.app/Contents/MacOS/BTTRelaunch
 2736 ??         0:14.74 /Applications/App Store.app/Contents/MacOS/App Store
 2851 ??         0:00.30 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
 3134 ??         0:00.05 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
 3281 ??         0:00.15 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
 3309 ??         0:00.12 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
 3310 ??         0:00.19 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
 3443 ??         0:00.73 /Applications/TextEdit.app/Contents/MacOS/TextEdit
 3553 ??         0:00.17 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
 3767 ??         0:00.12 /System/Library/Frameworks/QuickLook.framework/Resources/quicklookd.app/Contents/MacOS/quicklookd
 3769 ??         0:00.28 /System/Library/Frameworks/QuickLook.framework/Versions/A/Resources/quicklookd.app/Contents/XPCServices/QuickLookSatellite.xpc/Contents/MacOS/QuickLookSatellite
 3933 ??         0:00.02 automountd
 3935 ??         0:00.10 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
 4338 ??         0:00.05 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.MobileDocumentsFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.MobileDocumentsFileProvider
 4368 ??         0:00.00 /bin/bash /Users/ywatanabe/Documents/InfoSec/unix_triage/Unix Forensic Weasel/python_sudo /Users/ywatanabe/Documents/InfoSec/unix_triage/Unix Forensic Weasel v2/ArtifactHoarder/artifacthoarder.py
 4369 ??         0:00.02 sudo /Users/ywatanabe/Documents/InfoSec/unix_triage/Unix Forensic Weasel/venv/bin/python3 /Users/ywatanabe/Documents/InfoSec/unix_triage/Unix Forensic Weasel v2/ArtifactHoarder/artifacthoarder.py
 4370 ??         0:00.11 /Library/Frameworks/Python.framework/Versions/3.6/Resources/Python.app/Contents/MacOS/Python /Users/ywatanabe/Documents/InfoSec/unix_triage/Unix Forensic Weasel v2/ArtifactHoarder/artifacthoarder.py
 4392 ??         0:00.00 ps -eww
  775 ttys000    0:00.26 /bin/zsh -i
 2222 ttys001    0:00.03 login -pf ywatanabe
 2223 ttys001    0:00.40 -zsh
 2777 ttys001    0:00.06 ssh ywatan01@infosec-prod-01.uit.tufts.edu
 2586 ttys002    0:00.02 login -pf ywatanabe
 2587 ttys002    0:00.50 -zsh
